Table 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ignore this column;Use this column: every time you see a business here that is not in the weights sheet delete the row!;;1/1/00;2/1/00;3/1/00;4/1/00;5/1/00;6/1/00;7/1/00;8/1/00;9/1/00;10/1/00;11/1/00;12/1/00;1/1/01;2/1/01;3/1/01;4/1/01;5/1/01;6/1/01;7/1/01;8/1/01;9/1/01;10/1/01;11/1/01;12/1/01;1/1/02;2/1/02;3/1/02;4/1/02;5/1/02;6/1/02;7/1/02;8/1/02;9/1/02;10/1/02;11/1/02;12/1/02;1/1/03;2/1/03;3/1/03;4/1/03;5/1/03;6/1/03;7/1/03;8/1/03;9/1/03;10/1/03;11/1/03;12/1/03;1/1/04;2/1/04;3/1/04;4/1/04;5/1/04;6/1/04;7/1/04;8/1/04;9/1/04;10/1/04;11/1/04;12/1/04;1/1/05;2/1/05;3/1/05;4/1/05;5/1/05;6/1/05;7/1/05;8/1/05;9/1/05;10/1/05;11/1/05;12/1/05;1/1/06;2/1/06;3/1/06;4/1/06;5/1/06;6/1/06;7/1/06;8/1/06;9/1/06;10/1/06;11/1/06;12/1/06;1/1/07;2/1/07;3/1/07;4/1/07;5/1/07;6/1/07;7/1/07;8/1/07;9/1/07;10/1/07;11/1/07;12/1/07;1/1/08;2/1/08;3/1/08;4/1/08;5/1/08;6/1/08;7/1/08;8/1/08;9/1/08;10/1/08;11/1/08;12/1/08;1/1/09;2/1/09;3/1/09;4/1/09;5/1/09;6/1/09;7/1/09;8/1/09;9/1/09;10/1/09;11/1/09;12/1/09;1/1/10;2/1/10;3/1/10;4/1/10;5/1/10;6/1/10;7/1/10;8/1/10;9/1/10;10/1/10;11/1/10;12/1/10;1/1/11;2/1/11;3/1/11;4/1/11;5/1/11;6/1/11;7/1/11;8/1/11;9/1/11;10/1/11;11/1/11;12/1/11;1/1/12;2/1/12;3/1/12;4/1/12;5/1/12;6/1/12;7/1/12;8/1/12;9/1/12;10/1/12;11/1/12;12/1/12;1/1/13;2/1/13;3/1/13;4/1/13;5/1/13;6/1/13;7/1/13;8/1/13;9/1/13;10/1/13;11/1/13;12/1/13;1/1/14;2/1/14;3/1/14;4/1/14;5/1/14;6/1/14;7/1/14;8/1/14;9/1/14;10/1/14;11/1/14;12/1/14;1/1/15;2/1/15;3/1/15;4/1/15;5/1/15;6/1/15;7/1/15;8/1/15;9/1/15;10/1/15;11/1/15;12/1/15;1/1/16;2/1/16;3/1/16;4/1/16;5/1/16;6/1/16;7/1/16;8/1/16;9/1/16;10/1/16;11/1/16;12/1/16;1/1/17;2/1/17;3/1/17;4/1/17;5/1/17;6/1/17;7/1/17;8/1/17;9/1/17;10/1/17;11/1/17;12/1/17;1/1/18;2/1/18;3/1/18;4/1/18;5/1/18;6/1/18;7/1/18;8/1/18;9/1/18;10/1/18;11/1/18;12/1/18;1/1/19;2/1/19;3/1/19;4/1/19;5/1/19;6/1/19;7/1/19;8/1/19;9/1/19;10/1/19;11/1/19;12/1/19;1/1/20;2/1/20;3/1/20;4/1/20;5/1/20;6/1/20;7/1/20;8/1/20;9/1/20;10/1/20;11/1/20;12/1/20;1/1/21;2/1/21;3/1/21;4/1/21;5/1/21;6/1/21;7/1/21;8/1/21;9/1/21;10/1/21;11/1/21;12/1/21;1/1/22;2/1/22;3/1/22;4/1/22;5/1/22;6/1/22;7/1/22;8/1/22;9/1/22;10/1/22;11/1/22
ABB LTD N - TOT RETURN IND;ABB LTD N ;ABB LTD ;3304,08;3087,76;3049,59;3348,89;3301,48;3611,8;3331,65;3430,78;3361,82;2965,3;2801,52;2762,73;2978,23;2762,73;2336,04;1872,76;2208,44;2268,51;1932,83;1378,07;1155,46;777,37;1003,52;1173,13;1130,72;975,25;932,85;943,45;1024,72;1007,05;954,05;505,29;568,9;289,75;118,73;372,43;277,73;289,04;208,48;228,26;294,69;300,35;318,02;466,42;578,79;527,91;572,43;556,74;558,52;644,04;707,28;677;658,29;615,53;608,41;620,88;648,49;694,81;617,31;621,77;579,9;595,93;641,36;663,63;673,43;738,46;737,57;795,47;822,19;853,37;877,42;1064,49;1135,75;1260,46;1434,16;1505,43;1576,69;1363,2;1439,43;1425,98;1470,82;1470,82;1663,64;1735,39;1959,6;1995,47;1816,1;1883,37;2197,26;2423,19;2545,48;2676,83;2672,3;2851,67;3168,72;2953,12;2954,93;2527,36;2357,06;2491,13;2884,28;3029,21;2554,54;2566,56;2522,31;1937,83;1410,5;1320,16;1436,32;1318,31;1216,91;1495,32;1509,15;1611,48;1606,87;1883,71;1870,47;1934,77;1830,75;1772,12;1885,6;1843,99;2088,91;2205,23;1989,62;1871,42;1757,94;2094,83;1967,67;2024,94;1986,11;1914,28;2059,89;2159,87;2193,85;2215,21;2287,04;2247,07;2193,28;1890,49;1699,25;1545,86;1591,68;1701,24;1761;1973,16;1858,61;1864,59;1712,2;1566,24;1617,99;1768,1;1729,79;1859,19;1768,1;1874,72;1940,97;2043,46;2218,4;2216,33;2249,42;2238,74;2214,16;2184,24;2151,11;2292,17;2447,12;2464,22;2509,1;2361,63;2350,94;2459,94;2259,04;2342,62;2254,22;2318,31;2312,79;2351,46;2317,21;2351,46;2335,99;1982,39;2275,22;2289,58;2274,11;2334,69;2251,8;2244,49;2108,15;1961,49;2151,69;2192,93;2057,74;2009,61;2071,49;2112,73;2325,84;2363,65;2220,43;2451,51;2527,67;2615,74;2394,39;2483,64;2556,23;2794,24;2746,64;2771,63;2997,86;3001,55;2948,63;2793,57;2757,88;2975,7;3231,68;3066,77;3214,45;3203,37;2810,8;2796,03;2965,95;2920,01;2727,3;2898,31;2923,84;2942,98;2600,95;2590,74;2385,91;2445,25;2490,56;2431,21;2676,25;2445,79;2646,23;2496,23;2484,95;2558,62;2758,4;2876,54;3102,2;3002,64;2758,4;2262,86;2549,46;2628,07;3044,05;3298,65;3226,3;3286,13;3181,78;3352,91;3437,77;3717,42;3727,15;4118,07;4281,13;4441,34;4484,25;4728,84;4863,3;4378,4;4336,92;4617,27;5046,39;4597,25;4375,54;4446,83;4220,74;4341,13;3706,92;4223,68;3887,49;3704;4257,69
ACCU HOLDING 'R' DEAD - 28/04/17 - TOT RETURN IND;ACCU HOLDING 'R' DEAD ;ACCU HOLDING AG ;204,75;198,05;201,02;186,88;186,88;186,88;204,75;204,75;204,75;223,36;190,6;204,75;204,75;196,93;204,75;193,58;189,86;221,5;204,75;199,16;201,4;197,3;197,3;189,86;195,44;158,21;158,21;158,21;178,69;178,69;148,91;148,91;148,91;119,13;134,02;111,68;111,68;112,05;111,68;111,68;111,68;111,68;112,61;93,07;82,27;74,45;93,81;110;107,96;110,19;106,1;111,49;106,1;98,75;71,32;71,32;55,96;60,35;56,07;58,97;65,83;79,49;79,55;85,03;96,01;93,26;93,26;96,01;98,75;98,75;98,2;98,75;104,23;109,72;119,6;110,32;126,18;126,18;105,88;105,88;103,36;109,72;114,49;107,53;104,45;106,98;105,88;125,63;117,95;126,12;116,85;104,29;102,04;105,88;91,07;87,78;92,66;79,55;89,97;87,72;59,63;54,86;56,29;50,47;52,12;51,57;43,89;42,19;41,15;36,21;32,09;27,98;29,51;37,85;40,05;40,6;41,15;41,97;52,67;49,4;54,86;55,96;60,24;66,93;68,03;62,54;67,53;89,97;73,79;87,61;84,7;79,55;86,4;86,35;87,23;87,78;86,68;82,29;81,47;82,29;69,12;71,32;69,12;71,15;71,26;80,04;76,8;77,9;76,8;75,98;77,57;72,96;71,32;74,94;78,29;75,43;76,26;75,43;73,79;69,18;62,54;60,35;59,8;60,07;59,25;60,02;58,43;58,26;62,81;59,25;61,44;65,83;83,66;77,9;81,19;83,39;92,17;89,97;82,35;89,42;85,03;84,76;78,18;71,87;76,8;73,79;71,32;68,58;70,5;68,58;68,58;71,32;60,35;53,27;59,25;54,31;30,17;36,65;30,72;28,03;28,03;17,28;14,81;10,42;1,48;0,99;3,02;1,04;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11
ACHIKO N - TOT RETURN IND;ACHIKO N ;ACHIKO AG ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;126,09;78,26;290,43;182,61;222,61;167,83;136,52;143,48;141,3;115,22;91,3;85;73,04;69,35;89,13;79,57;78,04;66,09;73,91;59,13;33,04;45,22;58,04;43,91;18,43;18,43;21,04;22,52;16,17
ACINO HOLDING DEAD - 17/09/14 - TOT RETURN IND;ACINO HOLDING DEAD ;ACINO INTERNAT ;249,6;271,44;312;296,4;273;312,72;300,85;304,01;332,51;357,85;360,22;364,18;363,39;380,02;378,43;348,35;356,26;348,35;355,47;364,01;356,46;320,03;303,62;303,62;326,59;295,41;295,41;309,85;308,54;312,73;301,83;280,03;266,62;223,02;244,82;228,89;213,8;216,31;211,28;188,65;225,54;250,56;264,38;271,29;273,02;281,66;276,48;285,12;290,3;293,58;305,85;311,03;316,22;323,11;328,43;325,77;325,77;323,11;328,26;317,78;316,89;324,88;417,2;443,83;461,4;429,9;432,39;502,31;529,46;543,04;538,51;527,2;531,27;588,29;588,29;624,49;623,14;596,88;532,6;572,08;532,6;567,03;588,15;623,97;661,16;780,99;764,46;886,14;918,05;964,42;941,24;998,73;918,05;885,6;950,51;778,95;760,41;751,13;790,55;778,95;822,04;1057,84;1009,93;1037,64;1079,45;1068,18;1155,55;1052,21;1080,39;1000,54;798,55;696,15;812,86;876,45;961,09;865,46;860,68;889,84;791,34;716,75;769,83;825,77;774,13;765,04;736,39;592,61;485,26;464,61;466,31;456,36;446,88;424,54;445,91;456,6;409,48;404,38;414,78;430,05;423,29;412,78;371,23;340,44;438,06;460,59;503,65;522,67;534,69;533,18;601,36;537,18;553,35;562,45;550,82;553,35;570,03;593,78;555,37;473;493,47;488,92;485,13;467,95;413,37;371,43;369,41;437,12;580,13;581,15;581,15;581,15;581,15;581,15;581,15;581,15;581,15;581,15;581,15;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1;577,1
ACTELION DEAD - 07/11/17 - TOT RETURN IND;ACTELION DEAD ;ACTELION AG ;NA;NA;NA;NA;160;184,62;219,23;280;307,69;298,08;299,62;291,92;283,08;259,62;230,77;192,69;82,31;95,38;87,31;76,92;73,92;68,38;88,46;96,77;120;106,15;117,31;122,92;116,92;106,15;80;76,92;83,15;76,92;93,31;98,38;93,85;90;100,08;100;133,62;149,23;138,46;144,46;153,85;167,69;193,85;191,54;205,38;214,62;226,15;213,85;218,85;215,38;219,23;187,69;184,23;195,38;226,15;161,08;180;173,54;198,92;189,23;198,46;196,62;206,46;214,15;222,31;222,77;222,77;198,77;167,23;178;175,85;200,77;215,69;220;195,23;238,62;261,23;283,08;318,77;333,69;412,31;470,77;401,54;433,08;443,08;407,31;429,23;497,69;528,85;495,38;430,77;388,46;400,38;428,08;414,23;412,69;403,85;438,85;402,69;441,15;485,38;449,23;471,15;421,15;456,92;480,77;399,23;401,92;401,92;423,85;441,54;460,38;470,77;487,69;437,69;463,08;424,62;436,92;353,08;371,15;340,08;322,31;304,46;331,62;339,92;307,62;383,69;405;399,62;396,54;393,08;407,69;357,77;363,56;328,81;313,86;265,18;237,55;244,75;254,3;252,42;277,93;266,82;262,51;300,55;286,83;311,6;356,74;364,49;387,34;358,34;365,13;347,79;362,09;385,02;411,87;462,64;459,38;463,86;500,48;520,42;517,57;579,83;615,63;613,19;690,09;722,65;701,89;703,52;738,53;934,93;906,87;929,98;915,12;927,5;948,13;951,43;841,68;936,58;925,02;1023,22;1108,72;1147,9;1193,75;1074,54;1021,19;1165,41;1179,58;1163,74;1127,89;1171,24;1192,08;1287,95;1370,28;1393;1446,87;1370,28;1414,89;1186,79;1645,51;1855,93;2175,78;2291,09;2374,42;2235,54;2327,28;2329,69;2336,18;2303,71;2347,01;2422,79;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12;2427,12
ADDEX THERAPEUTICS - TOT RETURN IND;ADDEX THERAPEUTICS ;ADDEX THERAPEUTICS ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98,38;95,96;99,26;88,24;73,53;72,79;60,29;58,01;52,21;57,35;51,4;47,65;50,74;48,53;52,94;71,03;69,04;55,15;56,18;55,88;50,66;45,59;45,59;45,59;42,21;43,31;43,09;42,65;50,81;48,97;57,21;20,29;18,53;17,5;19,49;18,01;16,18;14,24;13,97;13,1;15,22;16,18;16,1;14,69;16,91;15,88;16,03;15;15,44;15,22;15,37;12,65;11,76;9,12;8,16;8,16;9,04;9,72;15,07;13,96;12,06;11,81;11,75;11,18;16,84;14,71;14,69;14,1;14,41;11;11,54;10,28;6,62;5,07;4,09;5,74;5,07;5,32;5,37;5,47;5,07;2,82;2,94;2,65;3,26;5;5,44;5,62;5,01;4,49;4,41;3,41;4,63;4,62;4,47;4,59;4,56;4,49;4,41;4,85;4,71;4,54;4,38;4,19;4,54;3,85;3,97;3,85;3,38;3,96;3,79;4,13;3,82;3,47;3,06;2,71;3,38;3,63;3,56;3,49;3,49;3,5;3,44;3,22;2,91;3,37;3,16;3,37;4,66;4,44;4,22;4,71;4,32;4;3,79;3,75;3,9;3,56;3,53;3,31;3,38;2,71;2,44;2,48;2,34;2,24;2,31;2,29;2,62;2,57;2,29;2,41;3,09;2,46;1,67;1,76;1,94;2,13;2,08;3,46;2,94;2,54;2,47;2,93;2,54;2,63;2,46;2,31;2,28;2,35;2,24;2,24;2,12;1,74;1,63;1,47;1,32;1,26;1,16;1,11;0,88;0,29;0,3;0,25;0,2;0,21
ADECCO GROUP - TOT RETURN IND;ADECCO GROUP ;ADECCO GROUP ;567,14;589,09;612,88;539,7;647,18;612,79;639,47;627,51;616,47;527,68;554,36;497,31;469,25;508,36;484,43;407,14;483,05;449,43;404,77;394,64;368,39;257,87;336,15;396,48;415,59;423,65;465,09;491,57;476,57;473,08;409,15;306,86;295,24;207,13;265,48;306,86;252;206,9;189,7;178,54;244,67;235,5;258,79;305,84;354,31;308,19;375,01;383,48;374,07;317,6;302,55;333,84;284,67;295,25;298,08;288,76;280,67;302,8;275,67;268,05;277,33;292,57;305,18;314,23;276,62;288,05;285,33;311,95;290,66;285,33;268,39;292,83;293,32;348,5;354,55;357,69;372,21;387,7;360,29;351,21;357,34;363,48;377,95;383,83;408,36;398,79;397,57;375,49;409,58;446,94;471,05;419,34;392,25;344,52;353,47;308,98;304,5;288,1;267,71;297,29;308,98;299,09;248,65;246;266,74;242,64;211,15;177,62;182,31;190,05;172,63;184,04;230,41;243,97;238,6;274,99;263,16;280,77;245,02;275,51;299,96;300,49;284,45;322,04;335,45;294,05;267,15;296,18;264,96;271,94;299,64;310,03;334,54;336,13;331,87;331,07;332,76;305,37;296,69;257,69;197,21;190,92;214,52;215,76;213,43;252,81;266,75;259,16;239,74;208,7;238,03;243,4;251,22;263,78;258,57;259,37;271,93;302,56;305,95;294,35;291,73;312,67;319,12;344,64;348,74;383,94;389,81;409,75;414,15;409,75;431,75;437,03;443,32;449,35;437,59;411,07;419,51;388,17;389,07;407,15;414,99;421,32;448,44;490,94;474,86;463,1;476,1;503,03;458,15;439,88;457,22;434,62;426,57;383,24;368,38;389,12;397,49;386,87;319,08;342,17;359,54;351,5;374,98;401,67;428,68;457,3;466,95;455,05;484,96;477,08;482,33;490,37;464,13;505,66;522,6;486,39;495,36;507,52;464,99;451,84;455,03;416,38;401,34;420,8;408,65;356,62;337,92;346,69;316,94;346;362,28;373,05;421,18;388,36;423,33;391,96;381,59;399,73;422,61;440,03;440,61;408,22;359,35;257,44;324,27;349,64;336,76;338,29;365,27;372,94;352,55;421,53;453,41;434,86;444,82;496,17;496,6;503,92;505,2;431,14;415,21;373,56;373,56;355,09;374,44;362,33;328,01;329,13;315,93;313,05;277,33;283,61;253,41;234,83;262,74
ADVAL TECH N - TOT RETURN IND;ADVAL TECH N ;ADVAL TECH HOLDING A ;96,13;109,07;112,43;103,08;95,89;95,89;98,28;101,97;105,65;138,09;147,42;136,37;142,26;143,74;130,22;122,85;121,62;122,85;128,18;117,1;100,73;73,03;76,81;85,62;85,62;78,32;65,48;74,29;72,78;83,11;78,32;77,01;80,93;75,44;73,09;75,7;79,62;77,01;75,7;82,49;86,15;93,98;97,54;102,12;121,25;132,84;134,72;134,45;130,68;153,05;153,59;167,06;163,02;161,67;170,65;170,92;158,52;161,27;159,9;158,52;161,27;172,3;170,65;168,03;157,97;151,63;166,51;169,47;166,65;166,65;157,47;146,88;145,18;146,88;149,7;149,56;148,29;144,05;142,38;135,4;130,75;142,38;150,22;144,12;156,62;172,74;181,6;180,15;196,13;216,77;213,84;215,31;213,55;216,77;234,35;229,81;228,05;213,84;202,13;190,41;159,54;155,33;135,34;124,68;118,52;119,55;87,77;72,18;58,24;55,78;47,16;40,17;82,02;102,53;101,71;111,14;99,62;99,62;98,43;93,1;87,36;85,26;81;96,79;107,76;106,02;110,32;126,73;131,24;131,24;133,29;136,78;144,77;138,62;131,85;136,16;133,7;138,42;121,4;118,11;120,99;108,17;82,84;91,87;67,67;62,54;69,52;74,64;64,1;59,55;59,88;59,3;57,01;59,47;69,72;66,03;65,41;69,15;59,75;55,16;56,19;61,15;61,93;61,35;65,74;71,77;66,44;64,43;71,77;65,21;68,9;70,95;89,41;82,02;80,63;80,38;80,18;79,97;74,23;74,93;73,58;75,91;74,19;75,5;74,44;74,31;74,85;71,77;67,26;66,44;65,62;62,79;64,8;62,71;60,49;61,15;71,77;76,04;73,82;86,13;96,38;94,33;95,56;93,18;96,38;96,75;96,54;111,14;112,78;133,61;126,95;105,3;114,99;112,37;111,38;108,48;111,85;112,32;109,98;111,38;116,06;109,04;100,62;105,3;109,98;105,3;105,3;91,26;90,79;91,49;79,09;77,69;93,6;92,78;83,69;83,21;80,34;81,78;76,52;82,74;81,3;78,91;69,82;75,08;67,43;73,24;79,1;77,14;83;69,33;62,5;70,31;83;83;84,47;85,44;79,58;86,14;88,11;87,62;88,6;86,14;82,2;80,23;79,74;81,71;81,71;76,29;69,4;71,85;70,35;70,35;67,86;71,35;78,34
ADVANCED DIG.BRDCT.HDG. DEAD - 17/03/15 - TOT RETURN IND;ADVANCED DIG.BRDCT.HDG. DEAD ;ADVANCED DIGITAL ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;115,88;117,65;131,37;153,92;184,31;176,47;207,84;235,29;268,63;278,43;247,65;294,12;210,78;78,43;86,08;131,18;151,96;149,02;147,06;156,86;167,65;151,96;146,67;161,08;143,14;139,22;119,51;106,86;97,06;93,73;60,2;62,75;56,57;59,8;54,31;66,27;58,82;54,9;56,86;70,2;70;64,12;52,16;56,27;49,02;45,1;44,61;63,14;63,04;66,67;84,61;94,12;110,78;100,59;100,69;100,98;98,04;90,2;84,41;84,31;76,47;76,21;67,73;56,82;56,39;57,35;59,15;66,36;69,64;66,25;59,36;52,89;43,67;43,35;43,73;26,37;21,59;26,82;20,25;18,36;20,05;22,59;29,49;24,48;20,87;25,59;26,59;25,37;26,26;28,71;27,6;28,6;31,16;35,27;35,5;33,38;32,49;33,38;31,71;31,05;36,72;37,61;33,05;34,72;31,82;31,27;31,05;30,82;32,05;29,93;29,93;28,49;29,15;33,83;33,83;34,38;33,94;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83;33,83
AEVIS VICTORIA - TOT RETURN IND;AEVIS VICTORIA ;AEVIS VICTORIA ;268,13;316,48;307,69;290,11;279,12;250,55;215,38;202,2;263,74;250,55;254,95;252,75;241,76;219,78;246,15;239,12;219,78;226,37;213,19;210,77;193,41;149,45;142,86;129,67;120,88;108,79;107,14;119,78;114,29;109,89;112,09;103,3;92,31;94,51;81,32;71,43;70,33;48,35;35,16;41,76;70,33;81,32;71,43;78,02;98,9;93,41;98,9;94,51;85,71;87,91;76,92;74,51;60,44;64,84;69,45;63,41;60,33;59,34;59,34;48,9;59,34;49,89;46,7;52,97;54,84;51,65;49,45;48,9;49,45;45,6;40,66;41,76;75,82;82,97;76,26;90,11;87,91;70,33;78,02;70,33;71,98;70,33;103,74;121,1;126,58;137,27;135,31;105,18;128,36;111,24;101,62;89,14;84,68;83,79;95,56;95,38;101,62;91,1;92,7;85,57;85,57;94,49;91,99;89,14;90,92;80,76;73,09;64,71;53,48;51,7;49,92;54,55;48,13;56,16;47,96;47,96;49,92;49,92;52,59;54,02;53,3;54,02;52,77;64;60,79;61,33;65,25;65,96;66,68;59,72;61,86;61,51;63,47;67,75;67,75;67,75;67,75;65,25;65,07;76,48;76,66;65,96;65,07;63,11;70,6;67,75;67,39;69,53;76,66;89,14;88,96;103,22;106,79;103,4;105,9;100,01;99,83;98,05;105,36;95,2;103,04;118,02;118,73;117,83;124,12;128,8;123,4;119,63;120,76;110,21;109,12;131,31;127,31;122,94;123,83;122,72;126,42;133,07;138,61;155,25;166,34;161,72;160,79;170,96;169,11;165,6;171,7;168,71;168,33;160,85;164,59;158,98;153,18;149,63;144,02;155,24;155,24;166,46;168,51;190,29;206,38;224,37;225,31;232,89;242,35;239,32;219,63;221,53;208,27;211,11;231,26;227,24;218,64;229,35;223,23;229,35;222,08;236,23;230,87;231,64;232,4;240,62;228,28;231,36;232,9;239,84;235,22;235,99;235,22;231,36;226,73;232,13;228,28;250,3;261,02;254,79;263,1;265,18;276,62;295,34;291,18;295,34;272,46;237,11;279,74;249,59;247,51;233,99;239,19;264,14;257,91;264,14;259,98;254,79;252,71;276,62;282,86;280,78;268,3;281,82;275,58;270,38;258,95;314,06;314,06;303,66;320,3;378,54;366,06;408,62;393,73;409,12;431,12;400,32;387,13
