Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ABB LTD ;ABB LTD - BOOK VALUE-OUT SHARES-FISCAL;9.032224336642646e-05;1.3966563375308813e-05;1.378337423041683e-05;2.4029389944186095e-05;5.753153809323667e-06;1.2192620196983338e-05;1.2320116101917304e-05;1.6473287075320682e-05;2.100730866661271e-05;2.0336015967787598e-05;0.00010836274921563382;4.0357172910641514e-05;3.563427011735096e-05;1.301887124353579e-05;7.582996179171954e-06;9.535468374292727e-06;6.891834515498188e-06;4.614529799997232e-06;4.956951999867512e-06;3.472466355945677e-06;8.686075506722047e-07;8.750796347194174e-07;
ACCU HOLDING AG ;ACCU HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;0.001229314200545919;0.0004929484350830687;0.0007505486579194408;0.0005874991008462061;8.69913973091089e-05;0.00013607424238708764;8.122312567634923e-05;5.4785167916113595e-05;6.463291592825934e-05;4.4537178560222005e-05;0.00025616896956494773;9.919706902861753e-05;8.574413699104614e-05;3.007808183851372e-05;1.829388560001101e-05;1.3422529111676214e-05;;;;;;;
ACHIKO AG ;ACHIKO AG - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;;;;;;;;;;3.9607730962391625e-09;-4.32079835008851e-09;-3.8597585542414e-09;
ACINO INTERNAT ;ACINO INTERNAT - BOOK VALUE-OUT SHARES-FISCAL;0.0016004862131765404;0.0005265991056127945;0.001203024983875923;0.0011833890048837334;0.0003442390302528479;0.00046656764645069076;0.00034970399946314753;0.0003108104210239241;0.00042600212172206535;0.0003910478993575002;0.0017742264256020307;0.0006154640641393345;0.0005189765590374876;0.00017384233449471722;;;;;;;;;
ACTELION AG ;ACTELION AG - BOOK VALUE-OUT SHARES-FISCAL;4.095557310239825e-05;1.076311686077303e-05;1.982389680151584e-05;6.50741857407418e-06;5.2854780803076785e-06;1.5637884394603517e-05;1.835445868244823e-05;1.6814134692619022e-05;2.7270032013350204e-05;3.8625394431124776e-05;0.0002676851815791585;8.055818898445188e-05;7.104665152529812e-05;2.7616168393701643e-05;1.8304477856162947e-05;1.8062806879682732e-05;1.3800844942561481e-05;;;;;;
ADDEX THERAPEUTICS ;ADDEX THERAPEUTICS - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;7.431086713563281e-05;8.355399263756658e-05;4.4038555091781054e-05;0.00018100210196678388;2.7427386821022577e-05;9.969142729642886e-06;5.512818581745499e-07;2.489180195705279e-07;2.174680145775867e-07;2.0396394983561615e-08;6.837353385682669e-08;1.1462855075946347e-06;5.426259141847653e-07;6.849736207934431e-08;5.3916002304559555e-08;
ADECCO GROUP ;ADECCO GROUP - BOOK VALUE-OUT SHARES-FISCAL;0.00020853050886102616;5.559978236259394e-05;0.00014317411339543538;0.00016760824207555535;5.43394656570958e-05;9.699870218705208e-05;7.824603757955347e-05;7.931706651470218e-05;9.596667003605208e-05;8.647369353994808e-05;0.0004541516994475849;0.0001695550934312589;0.00012781846274561738;4.393375225439264e-05;2.8148920723773528e-05;3.07277984041549e-05;2.5312999669072782e-05;1.720893473642471e-05;1.90193913023239e-05;1.49264563255413e-05;2.734684108692783e-06;2.869851102533301e-06;
ADVAL TECH HOLDING A ;ADVAL TECH HOLDING A - BOOK VALUE-OUT SHARES-FISCAL;0.0036860015792158428;0.0013878048614473176;0.0032854402264207512;0.002941548028372969;0.0009318587369128972;0.001334648244797009;0.0008861118701815264;0.0007822057190298261;0.0013218655659674636;0.0007656151524411059;0.002066492579038415;0.0005859504219782478;0.0003896418567776109;0.00015809578526236338;9.934053354655971e-05;0.0001274679406240599;0.00019613817512876544;0.00010993233520568308;0.0001305284409899753;9.795387944309073e-05;2.2031115375579234e-05;2.1068853920691145e-05;
ADVANCED DIGITAL ;ADVANCED DIGITAL - BOOK VALUE-OUT SHARES-FISCAL;;;;0.00015068375823919076;6.384144872281747e-06;0.0001044917410143087;6.079162878683419e-05;4.711913980919825e-05;6.267959064004862e-05;5.1126829888245484e-05;0.0002110830885263143;5.7409499492602714e-05;5.4383866061973436e-05;1.603206654652242e-05;;;;;;;;;
AEVIS VICTORIA ;AEVIS VICTORIA - BOOK VALUE-OUT SHARES-FISCAL;1.5156150077783241e-05;6.186764697150482e-06;1.2643912018141337e-05;1.0391087543431825e-05;1.907820037414429e-06;1.1612019235222226e-06;1.5111363938080766e-05;1.2337466433281e-05;1.635960272311749e-05;1.3114123117688667e-05;1.2245987427785161e-05;5.971437440423043e-06;1.3043886274238625e-05;5.769604593859378e-06;3.981629087513253e-06;5.770823406704569e-06;4.442120128525156e-06;2.7691281212014805e-06;3.2305812286718235e-06;2.721051117116305e-06;5.528080242025004e-07;6.956008619471924e-07;
AIRESIS SA ;AIRESIS SA - BOOK VALUE-OUT SHARES-FISCAL;0.0002240101626757952;3.1246637431113954e-05;2.7099980807612373e-05;1.0365109824573247e-05;4.914306866802926e-06;7.5642446055858e-06;3.5054574652601144e-06;2.3159378282503306e-06;2.1385891299791697e-06;2.0727093197937356e-06;1.067964019864985e-05;4.328667516959382e-06;4.062676607893683e-06;1.9375671823138092e-06;1.0030866575884678e-06;9.476420767685567e-07;4.658966012034601e-07;3.008435489700374e-07;3.270693507537854e-07;1.4145618200854152e-07;-6.989526742790236e-09;-1.9178175316386957e-08;
ALCON AG ;ALCON AG - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;;;;;5.2712362740116264e-05;6.979715138071631e-05;5.18122107306106e-05;3.1382084569606315e-05;3.509130149797277e-05;2.1651849042955398e-05;4.327152465309228e-06;4.321964641111808e-06;
ALLREAL HOLDING AG ;ALLREAL HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;0.0012521050388165666;0.0004895712030433321;0.0012101225978969647;0.0011507999565756454;0.00032959261416795035;0.0005149273246713404;0.00036210428195200425;0.0003204180632365211;0.00042352119723229663;0.0003501379621069173;0.001999869423599171;0.0007203639808490254;0.0006335081145414242;0.0002222869011716977;0.00012983457978237218;0.00018051141376914;0.0001406181144890379;9.240751474283984e-05;0.00010755567604941287;8.430166040508238e-05;1.9285629271011234e-05;1.8676527321790395e-05;
ALPHA PETROVISION ;ALPHA PETROVISION - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;;2.423554107619394e-06;-6.867983862499074e-08;7.182825513674919e-09;-1.800683545829351e-08;;;;;;;;
ALSO HOLDING AG ;ALSO HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;0.0003668855881155597;0.00013954977673628755;0.0003668381900507651;0.000344464552064765;0.00010941013860479596;0.00017412003748513177;0.00012243958034324857;0.0001086908272483056;0.00012012749148754933;0.00010541812636378612;0.0005708089692175035;0.00017185996834288663;0.00019606509008081972;7.242442965438421e-05;4.5118774304792366e-05;6.0281845603801635e-05;5.1153085124299716e-05;3.8808817817134826e-05;4.5771195746053324e-05;3.505227607698855e-05;8.793460053952187e-06;9.252444341790737e-06;
ALUFLEXPA ;ALUFLEXPA - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;;;;;;;;;1.257365664454411e-06;6.078089228543012e-06;1.3741409576325603e-06;1.3024272771468325e-06;
AMS OSRAM ;AMS OSRAM - BOOK VALUE-OUT SHARES-FISCAL;2.4165729152836884e-05;1.1041173701094398e-05;1.359117578497277e-05;1.298885942928978e-05;5.13329788277073e-06;9.158158566646963e-06;7.623094612603077e-06;7.437781934617356e-06;9.746489066948382e-06;7.261000573113905e-06;4.512147983929562e-05;2.194315871151271e-05;2.2025095940583565e-05;7.969344907422321e-06;5.79820101757051e-06;9.626200062493972e-06;7.333040743826811e-06;4.682219598515491e-06;8.213760487797894e-06;7.973036242729434e-06;1.5054169780926023e-06;1.4509073640303062e-06;
APG SGA SA ;APG SGA SA - BOOK VALUE-OUT SHARES-FISCAL;0.001106253378996533;0.0004086566625098134;0.0009704923218093889;0.0009349381017202785;0.0002719088958771767;0.00040288777115413723;0.000287596913145171;0.00031533578180001907;0.0002976062244268941;0.00018355535694770847;0.0006049660184528518;0.0002630055908644902;0.00018596915380294607;7.51952045962843e-05;5.379806899568984e-05;6.744532841511897e-05;5.074408373015567e-05;2.7471802168334394e-05;2.4755447180166227e-05;1.4564894324327469e-05;3.797727585118971e-06;4.096771852962786e-06;
APTG AG ;APTG AG - BOOK VALUE-OUT SHARES-FISCAL;0.000809632802554282;0.0002611359230176466;0.0006213363887394775;0.0005411418615430708;0.00015043198112134126;0.00016107294794819813;5.895144581390659e-05;5.9140104883559363e-05;2.8490356884129277e-05;2.3852452062217536e-05;8.970897766865874e-06;4.247465961807186e-07;4.701927413557058e-07;1.520963302520664e-06;4.6711849630043746e-07;1.7282226324046627e-08;1.6961212670540714e-07;-9.291963251142745e-07;-3.7805822831233543e-06;;;;
ARBONIA AG ;ARBONIA AG - BOOK VALUE-OUT SHARES-FISCAL;0.00040979835882672187;0.00011851593533614392;0.0002927731462528579;0.0002836247344979716;7.477244096053243e-05;0.00013489660836087406;0.000105928948560407;0.00011369702662737497;0.00014871048029256283;8.064664281071664e-05;0.00043151086222644716;0.00012920416679409064;9.576611036578516e-05;2.7481490415320238e-05;1.5777165538310695e-05;1.1502761804180034e-05;1.1374747433990468e-05;8.617800207314435e-06;9.979472147881419e-06;7.167301830008781e-06;1.6405054676850756e-06;1.822288507421221e-06;
ARUNDEL AG ;ARUNDEL AG - BOOK VALUE-OUT SHARES-FISCAL;0.021207481580344228;0.005636165810507449;0.017585718447398993;0.0019296639233935776;0.010655794764886138;0.0007657633722548318;0.00065961631959091;0.0005532382888273687;0.0005235475618879703;0.0003961090905110217;0.0014189681943939435;0.0004045336552212949;0.00018337516912872526;;2.9457064358537793e-06;3.3527519068650452e-06;1.685386322325881e-06;1.2163651673129466e-06;6.495103616384135e-07;7.915887945197984e-07;2.5429169113315017e-07;1.370214286755697e-07;
ARYZTA AG ;ARYZTA AG - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;1.7650618987425903e-05;0.00010037081846697752;3.336134662060615e-05;3.275499995961097e-05;1.0984335916787369e-05;6.530125917669382e-06;1.1733191488500655e-05;8.824124566572447e-06;4.131812650968037e-06;3.5769353288804313e-06;1.5316875387884875e-06;1.7537358009182772e-07;1.4425847596477232e-07;0.0008297233408256565
ASCOM HOLDING AG ;ASCOM HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;0.0005461551839662231;0.0001069012694018867;9.633260654864035e-05;7.324417832176507e-05;2.539553442799518e-05;5.910627338079389e-05;2.2464807976433064e-05;1.4683837084504396e-05;1.7201344960717577e-05;1.6832615781029317e-05;9.73271210103623e-05;3.682178212478435e-05;3.4324070118966526e-05;1.2668708499744138e-05;7.3277228059102646e-06;4.697885189086674e-06;2.41858304726128e-06;1.5801123674312645e-06;1.7849964095383477e-06;9.941540471560298e-07;2.5098755121837664e-07;2.6813260206495723e-07;
ASMALLWORLD AG ;ASMALLWORLD AG - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;;;;;;-7.777001845820982e-08;-8.051208546142744e-08;9.230427070671603e-08;-5.800852636010534e-07;-3.841949903351988e-07;-7.472439499564833e-08;-5.053871356959833e-08;
ATHRIS HOLDING AG ;ATHRIS HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;0.00504637762108162;0.006710197625240227;;;;;;;;;;;;;
AUTONEUM HOLD ;AUTONEUM HOLD - BOOK VALUE-OUT SHARES-FISCAL;;;;;;;;;;;0.000735239829476049;0.00030960279097490436;0.0002719615948259441;9.020551421348647e-05;6.959535982068921e-05;9.36250209249956e-05;9.097758307694017e-05;7.041653504846866e-05;8.61025493658904e-05;4.738159690085304e-05;8.48477713652969e-06;9.277532772393305e-06;
BACHEM HOLDING ;BACHEM HOLDING - BOOK VALUE-OUT SHARES-FISCAL;6.68358720612597e-05;2.6224235752809207e-05;6.364514236276138e-05;6.382725523552997e-05;1.8992830995038196e-05;3.07718509733389e-05;2.1451796359653113e-05;1.6409378147077245e-05;2.248941940076023e-05;1.82274579018968e-05;9.488860316500392e-05;3.094403878645999e-05;2.5591164484573473e-05;8.94800488366053e-06;5.468781851245258e-06;7.517768450960282e-06;5.788282197440223e-06;3.76738171551115e-06;4.362981716658986e-06;3.621844084146697e-06;8.639055054088731e-07;1.833747165629125e-06;
BALOISE HOLDING AG ;BALOISE HOLDING AG - BOOK VALUE-OUT SHARES-FISCAL;0.0010175163039413367;0.00040823957724933136;0.0007725691083831745;0.0007474179381396219;0.00022542712480997653;0.00036897738856675005;0.000282291355900453;0.0002636243290041851;0.0003556985212457633;0.00030466871614817165;0.0017544868906348595;0.0005979495133203531;0.0005313442130544957;0.00018824569535601384;0.00012217426013329106;0.00017467434182819326;0.0001369478368864696;9.146601118163133e-05;0.00010740756917359984;8.342067130353317e-05;1.9126013896666786e-05;1.8983498744307404e-05;
BANK CA ST. GALLEN ;BANK CA ST. GALLEN - BOOK VALUE-OUT SHARES-FISCAL;0.006597211708350771;0.0023668082391138214;0.00583314044846487;0.005615694407675149;0.001655505269898168;0.0023467726553357206;0.0016145801843733614;0.001389985713189524;0.001853629176490382;0.0015569697045799019;0.007650093265297854;;;;;;;;;;;;
BANK CLER AG ;BANK CLER AG - BOOK VALUE-OUT SHARES-FISCAL;0.0006404241729238761;0.0002283947300698053;0.0005438941436859103;0.0005387519114080816;0.00015754733328422733;0.0002473798286507437;0.00017294076018840442;0.00015258713110465614;0.0002107577573857061;0.00017237706611926111;0.0009607404322705405;0.0003475676411452927;0.0003065762334929394;0.00010750894087592933;7.233028035911944e-05;6.476082259278372e-05;4.925622039082848e-05;3.168839800128489e-05;3.616816190753004e-05;2.6849514994677247e-05;6.103254751804434e-06;5.865144358079447e-06;
BANK J SAFRA ;BANK J SAFRA - BOOK VALUE-OUT SHARES-FISCAL;0.00019571976087638974;7.389360531540408e-05;0.00015883828669912623;0.00016347778477704118;5.0490420173051516e-05;8.810345726346676e-05;6.15313459026843e-05;6.236902740100167e-05;7.688046685908166e-05;6.513391268144278e-05;0.00035283751276306;0.00012348882656607068;0.00010905301760746606;0.0065694517203474054;0.004081840304515502;0.005759035488166042;0.004540664774140998;0.003102790282687456;0.0037000522549599296;0.0028799833616749097;0.0006813093296279592;0.0006738159021972346;
BANK LINTH LLB AG ;BANK LINTH LLB AG - BOOK VALUE-OUT SHARES-FISCAL;0.004670116122313399;0.0017155411905727725;0.0041554264897232865;0.00405586227881174;0.0011894738293580058;0.0018238428966536918;0.001259013106883599;0.001098491004906605;0.0015073227265273146;0.001277059436077128;0.007219490172488292;0.0026021850364072794;0.002240542375463073;0.0009177891214225695;0.000562849188950417;0.0007906445720988092;0.000607682677678925;0.0004008924898567162;0.00047395897318123196;0.000364408099595844;8.452612605282413e-05;8.366388518682694e-05;
BANQUE CANT VAUDOISE ;BANQUE CANT VAUDOISE - BOOK VALUE-OUT SHARES-FISCAL;0.0006384669753151121;0.00017446328874913956;0.0001424876903759923;0.00013539587069091668;4.333795088881493e-05;7.597656547724883e-05;6.488011452074464e-05;8.86660297320281e-05;0.00011527035685335935;9.496332841111583e-05;0.0005286777886338298;0.00018748814457294777;0.0001606368594793437;6.950281537669693e-05;4.124730468125927e-05;5.706591132200196e-05;4.2819547531805564e-05;2.7560687762348267e-05;3.167404389457826e-05;2.3644117910363696e-05;5.28967383894365e-06;5.118522312743376e-06;
BANQUE CANTON GENEVE ;BANQUE CANTON GENEVE - BOOK VALUE-OUT SHARES-FISCAL;0.0015038556469388913;0.0005125282709223652;0.001170159049704989;0.001150877889732221;0.0003458313547587833;0.0005436013438677499;0.000388107342733809;0.00034825496640998463;0.0004824713461880502;0.0004119737901474304;0.0023026372232308944;0.0008461639286001972;0.0007505702579454661;0.00026891780440647527;0.0001669265423752264;0.0002372489627909851;0.00018512841581553343;0.00012402480426891362;0.00014680708369977987;0.00011281526592490811;2.667330487353168e-05;2.6813018971586084e-05;
BANQUE CANTONALE ;BANQUE CANTONALE - BOOK VALUE-OUT SHARES-FISCAL;0.0003385628359424557;0.00012312125175396662;0.00030327541845033687;0.0003004842740371898;9.001644269917262e-05;0.00013978789759533323;9.703047961013132e-05;8.596968161661443e-05;0.0001209531238258652;0.0001045023538498521;0.0006058381890690749;0.0002238164710933457;0.00019856926265837707;7.031986177887744e-05;4.328207708804643e-05;6.169034704921143e-05;5.495862303044318e-05;3.589542153949544e-05;4.116522618626358e-05;3.070674216568616e-05;7.016468191326082e-06;6.7768916990641584e-06;
