Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ABB LTD ;ABB LTD - DIVIDENDS PER SHARE - GROSS;0.0003574078023024271;0.0;0.0;0.0;0.0;5.6893339212311715e-05;8.582592071544487e-05;0.0001412284758975952;0.00015428547183711567;0.0001800450112528132;0.00021056717320939815;0.000203664839114177;0.00021984374282678966;0.00021380104041694866;0.0001562979550543917;0.00020750221452532327;0.00018967896834607426;0.00018023867760268695;0.00013202555420614435;0.00015805613086889583;0.00021722708539359648;0.00020322891084917716;
ACCU HOLDING AG ;ACCU HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;
ACHIKO AG ;ACHIKO AG - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;;;;;;;0.0;0.0;
ACINO INTERNAT ;ACINO INTERNAT - DIVIDENDS PER SHARE - GROSS;0.0009610966112334174;0.0011891817166284021;0.0006587905511318227;0.0013550814878252704;0.0011806814539147559;0.0009482223202051953;0.0007152160059620406;0.0006472971811973114;0.0008035701658183109;0.0008825735845726137;0.0008773632217058257;0.0003133305217141185;0.0;0.0;;;;;;;;;
ACTELION AG ;ACTELION AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002506644173712948;0.00032329962180410244;0.0003665160692861977;0.0003694315301285622;0.0004206125970107904;0.0;;;;;;
ADDEX THERAPEUTICS ;ADDEX THERAPEUTICS - DIVIDENDS PER SHARE - GROSS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ADECCO GROUP ;ADECCO GROUP - DIVIDENDS PER SHARE - GROSS;0.006006853820208859;0.0007432385728927513;0.0002470464566744335;0.00047427852073884464;0.0005903407269573779;0.00047411116010259767;0.0004291296035772243;0.00044133898717998505;0.00048214209949098654;0.0002647720753717841;0.00038603981755056335;0.0005639949390854133;0.0005819393192473845;0.0006108601154769962;0.0005967740102076774;0.0006729801552172646;0.0005989862158297081;0.0005776880692393812;0.0004125798568942011;0.0004939254089652994;0.000678834641854989;0.0006196003379548084;
ADVAL TECH HOLDING A ;ADVAL TECH HOLDING A - DIVIDENDS PER SHARE - GROSS;0.005228966250491812;0.0064698917770314;0.0035842323422515727;0.0068811037951767235;0.005995500422979131;0.004815072942001982;0.0015563100289734005;0.0020595819401732635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010232681187090848;0.00092430091078301;0.0006931341595822579;0.0005334394416825234;0.0003665707066016941;0.0004956802703638467;
ADVANCED DIGITAL ;ADVANCED DIGITAL - DIVIDENDS PER SHARE - GROSS;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0010528358660469909;0.0003133305217141185;0.0;0.0;;;;;;;;;
AEVIS VICTORIA ;AEVIS VICTORIA - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9074677686442042e-05;3.359730635123479e-05;3.125959101087834e-05;3.0844923780791294e-05;2.745353489219496e-05;2.5418275046532773e-05;6.139188270585712e-05;0.0;0.0;0.00024784013518192337;
AIRESIS SA ;AIRESIS SA - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
ALCON AG ;ALCON AG - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;;;;;;0.0;2.715338567419956e-05;4.956802703638468e-05;
ALLREAL HOLDING AG ;ALLREAL HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0019926226139254663;0.0016560347479076193;0.0028117940872374363;0.002449914016873119;0.0021434565548238437;0.0016839760860376245;0.0014028695272494457;0.0015325690202486824;0.001683244340496889;0.001890542270131713;0.001687911520473956;0.0017781479199225634;0.0016798653175617395;0.0015629795505439168;0.0016123482885413633;0.0014350711420920092;0.001444220173098453;0.0010727076279249228;0.0013335986042063083;0.0018328535330084702;0.0017348809462734635;
ALPHA PETROVISION ;ALPHA PETROVISION - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;0.0;;;;;;;;
ALSO HOLDING AG ;ALSO HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.00027030842190939867;0.00037161928644637563;0.00028822086612017244;0.0003387703719563176;0.00041323850887016456;0.0003318778120718183;0.00025032560208671417;0.00020595819401732633;0.0;0.00024712060368033183;0.0;0.0002193313651998829;0.0003879595461649229;0.0004276020808338973;0.0004546849601582304;0.0005327759562136678;0.0005615495773403514;0.0006354568761633193;0.0004950958282730413;0.0006421030316548892;0.0010182519627824835;0.0010657125812822705;
ALUFLEXPA ;ALUFLEXPA - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;
AMS OSRAM ;AMS OSRAM - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9727876265024645e-05;1.2214266520438325e-05;0.0;2.456617020776312e-05;2.7259755389128304e-05;6.239682700819178e-05;4.3065638141128226e-05;6.337171632205336e-05;9.674089731248179e-05;5.066425075559615e-05;5.1529775776152804e-05;0.0;0.0;0.0;0.0;
APG SGA SA ;APG SGA SA - DIVIDENDS PER SHARE - GROSS;0.0037542836376305367;0.004831050723802884;0.0025734005903586825;0.01693851859781588;0.003689629543483612;0.002963194750641235;0.003719123231002611;0.0025891887247892456;0.0014142834918402273;0.0;0.0;0.002193313651998829;0.003232996218041024;0.003665160692861977;0.006251918202175667;0.006449393154165453;0.0059898621582970815;0.0055458054646980596;0.003300638855153609;0.0;0.0;0.002726241487001157;
APTG AG ;APTG AG - DIVIDENDS PER SHARE - GROSS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ARBONIA AG ;ARBONIA AG - DIVIDENDS PER SHARE - GROSS;0.0;0.000283917134845031;0.00015728624408272267;0.00025882056417462666;0.0005631850535173386;0.00045230204673787813;0.00048741970806313065;0.0004127990660090127;0.00022564250256178168;0.0;0.00012949881152377987;0.0;0.0;6.750004276020808e-05;0.0;0.0;0.0;0.0;3.300638855153609e-05;4.3465435988946346e-05;6.788346418549889e-05;7.435204055457701e-05;
ARUNDEL AG ;ARUNDEL AG - DIVIDENDS PER SHARE - GROSS;0.024888197433271364;0.021898781311712023;0.46251378828036316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011730146726665117;0.00011553761384787625;0.0;0.0;0.0;0.0;
ARYZTA AG ;ARYZTA AG - DIVIDENDS PER SHARE - GROSS;;;;;;;;;0.0;2.6477207537178412e-05;3.579641944559769e-05;3.791299312740833e-05;4.202895083453332e-05;4.3065638141128226e-05;4.632103031611972e-05;3.897676732299991e-05;3.04484659713435e-05;0.0;0.0;0.0;0.0;0.0;0.0
ASCOM HOLDING AG ;ASCOM HOLDING AG - DIVIDENDS PER SHARE - GROSS;0.00038624070063942965;0.0;0.0;0.0;0.00016234369991327896;0.00013275112482872734;0.0;0.0;0.0;0.0;8.773632217058257e-05;7.833263042852962e-05;0.00011315486763143585;0.00012217202309539925;0.0001278801450445023;0.00012618377910323712;0.00019966207194323606;0.00010398385246308861;7.42643742409562e-05;0.0;0.0;4.956802703638468e-05;
ASMALLWORLD AG ;ASMALLWORLD AG - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;
ATHRIS HOLDING AG ;ATHRIS HOLDING AG - DIVIDENDS PER SHARE - GROSS;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;
AUTONEUM HOLD ;AUTONEUM HOLD - DIVIDENDS PER SHARE - GROSS;;;;;;;;;;;0.0;0.0;0.0002101447541726666;0.00039705907506004754;0.0012788014504450228;0.0012618377910323711;0.001622254334538793;0.001501988980022391;0.0005941149939276496;0.0;0.0;0.0003717602027728851;
BACHEM HOLDING ;BACHEM HOLDING - DIVIDENDS PER SHARE - GROSS;8.9502121921112e-05;0.00011074254736101994;4.488010629585542e-05;0.00014905896366077974;0.0001416817744697707;0.0001422333480307793;0.00014304320119240812;0.00017653559487199402;0.0002057139624494876;0.0002118176602974273;0.00017547264434116514;9.399915651423554e-05;9.698988654123073e-05;0.00010690052020847433;0.0001136712400395576;0.00012618377910323712;0.00012478879496452254;0.00012709137523266386;9.076756851672425e-05;0.00011854209815167185;0.00017649700688229713;0.00017348809462734634;
