Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ABB LTD ;ABB LTD - EMPLOYEES;0.10567457582123545;0.10185523070909396;0.08880990474000697;0.07745950076718586;0.06901102835767253;0.06566271442682795;0.06323022123551852;0.06244156556615266;0.06566681642348968;0.06329055219369964;0.06138706308482375;0.06575631575631576;0.07088454794483329;0.07146645092862838;0.07059167792496668;0.06394039512150794;0.06275537357709424;0.06134307662833331;0.06691298801180334;0.06771582425961609;0.05167151984240186;0.05308603242417571;
ACCU HOLDING AG ;ACCU HOLDING AG - EMPLOYEES;0.00022275915135991505;0.00022661189887784904;0.0002062955263250336;0.00017957536412230546;0.00022815899249296342;0.00015162694442523555;0.00011650753727655728;9.087477845788288e-05;8.536686135053659e-05;1.0912164171327525e-06;5.269275801272424e-07;;5.482514659661986e-05;;;;;;;;;;
ACHIKO AG ;ACHIKO AG - EMPLOYEES;;;;;;;;;;;;;;;;;;;;;2.250842720407657e-05;;
ACINO INTERNAT ;ACINO INTERNAT - EMPLOYEES;0.0002917553486837825;;;0.00017026404894559331;0.0002436388061429285;0.00023917723032767282;0.00015280636798583642;0.00017840447304615044;0.000207944918674384;0.00022915544759787802;0.00023342891799636842;0.00024363305613305615;0.0004056090491572938;;;;;;;;;;
ACTELION AG ;ACTELION AG - EMPLOYEES;0.00014916320754778973;0.00026622028234933554;0.0003416969244083374;0.00045292897395292597;0.0005720800696726221;0.0006521861877369964;0.0007330021943228629;;0.0010397245933719199;0.0012330745513600104;0.001286230223090599;0.00126492313992314;0.0011804387758369568;0.001159333895903816;;;;;;;;;
ADDEX THERAPEUTICS ;ADDEX THERAPEUTICS - EMPLOYEES;;;;;3.2305698052101016e-05;3.8065341696711855e-05;3.512790068639918e-05;4.4043604283268394e-05;7.387516847642589e-05;7.856758203355817e-05;5.690817865374219e-05;3.9867227367227364e-05;2.7169984154077098e-05;2.4193111350246577e-06;2.51394864405152e-06;3.7667390351403793e-06;3.3203901363541926e-06;3.6405386723046475e-06;7.759350587999024e-06;8.909976876265276e-06;1.1254213602038285e-05;1.4237633217211875e-05;
ADECCO GROUP ;ADECCO GROUP - EMPLOYEES;0.01971319923539071;0.01947953285482943;0.018521889360451935;0.01862263035342427;0.020191061282563136;0.022384958607113016;0.020491275400399522;0.020628017195961145;0.01877633170935648;0.015554198809810254;0.0169185907427255;0.016242203742203743;0.0155257052309012;0.014999729037152878;0.015586481593119423;0.015066956140561517;0.015653267785669764;0.015472289357294751;0.015518701175998047;0.01594416914700102;0.014679409046136894;0.016780067720285424;
ADVAL TECH HOLDING A ;ADVAL TECH HOLDING A - EMPLOYEES;0.0005223997797378539;0.0005168569384148076;0.0005288318755329035;0.0006737401624292423;0.0007457231967026651;0.0007162628462597947;0.0006563062778242246;0.0007688117760332546;0.001553020208415531;0.001403849920641286;0.001301511122914289;0.0012260402885402885;0.0010863141878746183;0.0008322430304484823;0.0008059719352829172;0.0006977884062597553;0.0006360918818358532;0.0006366392003192752;0.0005878849151378083;0.0005528875124798295;0.0005406915665327089;0.000576624145297081;
ADVANCED DIGITAL ;ADVANCED DIGITAL - EMPLOYEES;;;0.0002024634112849401;0.0002394338188297406;0.00029748163622976353;0.0003248242491452745;0.00041626562313383026;0.0004214805675715304;0.0003923592281303508;0.00039338351837635727;0.0004241767020024302;0.0004646254646254646;0.00043374938988830224;0.0004190246885862707;;;;;;;;;
AEVIS VICTORIA ;AEVIS VICTORIA - EMPLOYEES;0.00010907970243582861;7.012631827738595e-05;5.364961056130905e-05;5.985845470743515e-05;6.59574668563729e-05;5.582916782184405e-05;0.00035654819196695166;0.0003540213762009548;0.00028619787491237586;0.0002984476900858078;0.0004384037466658657;0.00040064102564102563;0.0006962308439482257;0.0008990160177751627;0.0012635105885002939;0.0012180692354885202;0.0013547191756325106;0.0013137793933679397;0.001299919439683601;0.001608016353090191;0.0017282557583651835;0.002169713604922967;
AIRESIS SA ;AIRESIS SA - EMPLOYEES;1.9713199235390714e-05;1.8180897331174137e-05;7.025544240171424e-06;1.3301878823874478e-06;7.874513900199623e-05;0.0001325942735768796;0.00013641334766551681;0.0001572189418719201;0.0001504864543038305;0.00013476522751589492;0.0001290972571311744;;2.4258914423283125e-06;2.4193111350246577e-06;2.51394864405152e-06;4.708423793925474e-06;;4.55067334038081e-06;4.5643238752935435e-06;4.6894615138238295e-06;4.893136348712298e-06;;
ALCON AG ;ALCON AG - EMPLOYEES;;;;;;;;;;;;;;;;;0.008845044981799518;0.008705438100148488;0.00930254849023577;0.010383405683908723;0.01157471403287894;0.012401487019092158;
ALLREAL HOLDING AG ;ALLREAL HOLDING AG - EMPLOYEES;0.00015901980716548508;0.00014220058984025483;0.00013284665472324146;0.00013767444582710086;0.00015614420725182157;0.0001509925220636237;0.00015514822803159637;0.00015610391391538165;0.000153769795125005;0.00014349495885295695;0.0001375280984132103;0.0001461798336798337;0.00018339739304002042;0.0001795128862188296;0.00017497082562598578;0.0001469028223704748;0.00013091823966196532;0.00011786243951586296;9.858939570634053e-05;0.00010316815330412424;0.00010079860878347333;0.00012356231684937448;
ALSO HOLDING AG ;ALSO HOLDING AG - EMPLOYEES;0.0010323145332932935;0.0008798255672764627;0.0007102186540973293;0.0006478014987226871;0.00040516729640343354;0.0003952451312841914;0.001198446878417652;0.0011077802748209404;0.0009072965135845491;0.0008036808912182722;0.0007793258910081916;0.0015169233919233918;0.0014506830825123309;0.001567713615495978;0.0019287013997163261;0.0016422982193212054;0.0017394100900015464;0.0017611105827273733;0.0017015799407094328;0.001978952758833656;0.0019582331667546615;0.002141238338488543;
ALUFLEXPA ;ALUFLEXPA - EMPLOYEES;;;;;;;;;;;;;;;;;;;0.0005148557331331117;0.0005697695739295953;0.0006341504707931138;0.0006823894206249405;
AMS OSRAM ;AMS OSRAM - EMPLOYEES;0.0004915157676024084;0.0006058134717851953;0.0005499085082534178;0.0005373959044845289;0.0005512159730139735;0.0005430655415397558;0.0005755121062455066;0.0005970974707263347;0.0006178152978509987;0.000593076122711651;0.0005896319621623843;0.0005871802746802747;0.0006219985658129793;0.0006745039444448745;0.0008225639963336573;0.0009044882108130836;0.0010316926495100528;0.005082191986537288;0.004511377718340138;0.004037157417250935;0.014558548578323699;0.012457420578159776;
