Date;Date;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ABB LTD ;ABB LTD - NET SALES OR REVENUES;0.047033954152552716;0.047488291057818835;0.036961919601640844;0.032727068694530806;0.03238454404957125;0.02993197370813449;0.029037292374731134;0.03073871698447407;0.040330544686311996;0.04023412297698441;0.03891542470551695;0.041943822325845634;0.04536798771523463;0.04682800205360298;0.041698073329377965;0.044658518601321896;0.04014313369208107;0.037828483365701895;0.033154528985498595;0.029625238644694813;0.030132510395889312;0.030349265353230622;
ACCU HOLDING AG ;ACCU HOLDING AG - NET SALES OR REVENUES;0.00013707968549577637;0.00012405930448324793;0.00010189063232419862;8.793256429306799e-05;8.903404025453813e-05;7.788228121590143e-05;5.725567627153329e-05;4.925684208567665e-05;7.693097766717455e-05;5.715504180549515e-05;0.0;2.5686849137635573e-06;3.729538831092641e-05;0.00010878385739033221;0.00015010905330924493;0.00020642999994810863;;;;;;;
ACHIKO AG ;ACHIKO AG - NET SALES OR REVENUES;;;;;;;;;;;;;;;;;;;;6.850312864389811e-06;3.2425452964356636e-06;6.53225785185731e-08;
ACINO INTERNAT ;ACINO INTERNAT - NET SALES OR REVENUES;0.0005561230894950625;0.00033392145852451343;0.0003126446222911022;0.00027964839880432243;0.0002724398778485234;0.00032546894317868254;0.00012664529054533957;0.0001593821334463166;0.0002490604538533104;0.00027872401573390517;0.0002073902469363153;0.00020817150095009688;0.00038438850287975026;0.00039062886809583606;;;;;;;;;
ACTELION AG ;ACTELION AG - NET SALES OR REVENUES;3.820724438878989e-05;7.588639555860726e-05;0.00016789581779652285;0.0003996384245806396;0.0005947534387784748;0.0007137584950527402;0.0009035937910405144;0.0011631844284319597;0.0015833728303102684;0.002074471599871321;0.00229550628169558;0.0022559999668796656;0.0021463456855809263;0.002163055468290262;0.00221069912253342;0.0026630131494365596;0.002884190117614277;;;;;;
ADDEX THERAPEUTICS ;ADDEX THERAPEUTICS - NET SALES OR REVENUES;;;;;2.520782566663028e-07;6.471904845819231e-06;4.528130734134313e-06;4.2999412220991506e-07;2.8805731263167464e-05;4.787789504397909e-06;2.350283963271971e-06;3.5459156535718935e-06;1.5025944746186182e-07;1.7200369398524824e-07;8.208788927187876e-07;5.104496365289323e-07;4.771321874447198e-07;5.646089821666842e-07;8.205139474377247e-06;3.0225419052904753e-06;4.802532724274128e-06;3.6133700012115964e-06;
ADECCO GROUP ;ADECCO GROUP - NET SALES OR REVENUES;0.03227429190066609;0.03226963121007213;0.03248844489971207;0.032182388124192676;0.03354481363052876;0.030470586345522452;0.03075107471943818;0.030647131768222598;0.033892383694270334;0.02611754856971073;0.03033783549326274;0.031694630094977735;0.030703249295356148;0.02902899802403489;0.027382577754227398;0.03047865350730108;0.029558193486883218;0.02984028143499325;0.03362859827024227;0.02773697438045594;0.0259345285137393;0.025911102679379638;
ADVAL TECH HOLDING A ;ADVAL TECH HOLDING A - NET SALES OR REVENUES;0.00022768356646507532;0.00020306405945669424;0.000225538654200943;0.00029759122118619126;0.0003104255503455685;0.0002643026123049577;0.00025838914736992386;0.00029168170075188427;0.00042589005569860594;0.0003496022596241155;0.00035742523504841837;0.0003316103139233419;0.0003337411345761797;0.0003257919545187348;0.00027055355329041835;0.00028027461331014747;0.00027663408529763684;0.00022621397635897502;0.00023417759395572335;0.00018517068651959504;0.00016696817818912318;0.0001909149768068002;
ADVANCED DIGITAL ;ADVANCED DIGITAL - NET SALES OR REVENUES;;;0.00012718748292716745;0.00014349839771362805;0.00027401536695268776;0.0003350740803355989;0.00031201486612742965;0.00031209891652597476;0.0004168175451955686;0.0004821330948347076;0.0004393305486383525;0.0004410199622013179;0.0005188284866951934;0.000418051344350287;;;;;;;;;
AEVIS VICTORIA ;AEVIS VICTORIA - NET SALES OR REVENUES;1.9969627210281452e-05;1.902163712940759e-05;1.8532633601007718e-05;1.3835257090075142e-05;1.3951271115196527e-05;1.0218231017996128e-05;9.129835232043333e-06;0.00010601783210700437;0.00013737605504563662;0.00016306337991365668;0.00021597027092375373;0.000236823956484503;0.00038098096631912753;0.0004874875398010643;0.0005475013805415884;0.0006643853604632888;0.0006168197923019732;0.000657762688916401;0.0007063397315561621;0.0009010513112121142;0.0007938776020269941;0.0008590515000470076;
AIRESIS SA ;AIRESIS SA - NET SALES OR REVENUES;2.0221732239398867e-05;-1.6789161817226944e-05;-2.8686082058862404e-06;3.794397548888834e-07;2.8651214652691974e-05;8.6379547009814e-05;0.00010391290854580603;0.00012388245443692883;0.00017032528986200937;0.00020038379533916263;0.0002035857619588062;0.0002127637317788106;0.00024620445101391445;0.00015040632874752306;0.0001380804111577549;0.0001530880129308352;0.00015298885741274357;0.00015820569523903357;0.00018713177485700028;0.00016796118186759534;0.0001260209843788839;0.00016494294878984542;
ALCON AG ;ALCON AG - NET SALES OR REVENUES;;;;;;;;;;;;;;;0.007680350680546936;0.008475953710525796;0.007778844698363592;0.007519859909219345;0.008553808326005352;0.007952884744763758;0.007896580836517432;0.008692036601579283;
ALLREAL HOLDING AG ;ALLREAL HOLDING AG - NET SALES OR REVENUES;0.00017926122022339324;0.00016912332868933465;0.00020980339925669115;0.00018595146891986033;0.00018162238392807116;0.000631701797565171;0.0007052570784689884;0.0005490150825259244;0.0006591351347344695;0.0006700096532065027;0.0008402711425146019;0.0010113961332823551;0.0010328163839176071;0.0013514402914038132;0.0010721107409030109;0.0010518908581328356;0.0009985183852749373;0.0007033898699832552;0.0006766822469693783;0.0005776318616461967;0.000648137633709076;0.0006407342745567407;
ALPHA PETROVISION ;ALPHA PETROVISION - NET SALES OR REVENUES;;;;;;;;;;;;1.0019755284641514e-05;7.0212141813997245e-06;4.078425617241767e-06;7.938926402621452e-06;;;;;;;;
ALSO HOLDING AG ;ALSO HOLDING AG - NET SALES OR REVENUES;0.002258582290907925;0.002041429904961619;0.002141121394377221;0.002076858300579442;0.0023406613087534043;0.002129976272858847;0.003131310852292688;0.004488169162470719;0.005213032513155782;0.005160988977362815;0.005014217188998475;0.007799379020861726;0.009414559078708412;0.009723333693471115;0.00990945013655456;0.01079019563496676;0.010392682175927941;0.011213045177611165;0.012928573741857324;0.012659849579010627;0.015775192103568477;0.015330194959326846;
ALUFLEXPA ;ALUFLEXPA - NET SALES OR REVENUES;;;;;;;;;;;;;;;;;;;0.00025607306311553027;0.0002461846516987967;0.00031745744156512734;0.0003291730792667338;
AMS OSRAM ;AMS OSRAM - NET SALES OR REVENUES;0.00014772142662871344;0.00017553888241139435;0.0001672987846665393;0.0001745838696877783;0.00020232305036550793;0.00019187794205593128;0.00018766278380363943;0.00017122507217568332;0.0001984701666943622;0.00016052846129558632;0.00024921221129339387;0.0003463064574397398;0.00048137166261426665;0.00045761340526051373;0.0005243349813092482;0.0008113805319417799;0.000655985187908373;0.0012012315815728002;0.001745940573346429;0.002010688943217166;0.004338250751703156;0.005773599132922303;
APG SGA SA ;APG SGA SA - NET SALES OR REVENUES;0.0003727712227655573;0.00037939289467086017;0.0003906319130098641;0.0003793630872671764;0.0003784904608193203;0.0003188453782724909;0.00031964073896750686;0.00034118841621863977;0.00048567857688645383;0.0003979307288453601;0.0003620984325794407;0.0003916396639055787;0.0003975045382854708;0.0003711900280882638;0.0003537254091881706;0.0004103702557506986;0.00037835151067803943;0.0003414111469904436;0.0003718349361503478;0.00034148857622767867;0.000326351846074327;0.00030706654348386934;
APTG AG ;APTG AG - NET SALES OR REVENUES;0.0011061386922510737;0.0015084699485645504;0.001363824406702698;0.0013208063966463264;0.0013352383593008724;0.0009984136723390161;0.00014500051135199078;0.00011216754270493467;0.0001028472169556094;7.850172490503509e-05;1.999228890276917e-07;2.2609451563689014e-08;2.3718640053897195e-07;1.4196361221881054e-06;9.870871086860579e-06;1.1072329743381407e-05;1.4684935899079862e-05;2.7095585054179172e-05;2.660947663643333e-05;;;;
ARBONIA AG ;ARBONIA AG - NET SALES OR REVENUES;0.0005051336353126558;0.0006825689637501697;0.0008889059206655254;0.0008934805650197367;0.001287891760742524;0.0012085134093081972;0.0011880270952832593;0.0012992100228334737;0.0016876782252538704;0.0016199733311347186;0.0016821369080726389;0.001692424216396729;0.0015093747769586326;0.00121617634419509;0.0011487776679136202;0.0012258916801520755;0.0011872802284413487;0.0014065143737448918;0.0016819213894928627;0.0015101692286550595;0.0012856537339709883;0.0013593708810425524;
ARUNDEL AG ;ARUNDEL AG - NET SALES OR REVENUES;0.00030240361855656786;0.0002300977366322037;0.0;0.0;3.056826979463921e-05;3.132156707832076e-05;2.444464413829038e-05;3.4549630394402414e-06;1.7529298097364526e-05;1.623003296186512e-05;1.4996596711470064e-05;1.4309270678530291e-05;1.3668642464567876e-05;;6.120346561338262e-05;5.816651738293591e-05;5.606422485522318e-05;1.4546585816542451e-05;2.877858108945384e-06;9.835526270497094e-06;1.0843150708737512e-05;1.0169694066207328e-05;
